RawParagraph,RespAPrediction
5. Την υπ’ αρ. 140634/22.6.2017 απόφαση του Συ-ντονιστή Αποκεντρωμένης Διοίκησης Πελοποννήσου Δυτικής Ελλάδας και Ιονίου «Μεταβίβαση δικαιώματος υπογραφής ‘’Με εντολή Συντονιστή‘’ στον Προϊστάμε-νο της Γενικής Διεύθυνσης Εσωτερικής Λειτουργίας και στους Προϊσταμένους των Υπηρεσιών της Γενικής Διεύθυνσης Εσωτερικής Λειτουργίας της Αποκεντρω-μένης Διοίκησης Πελοποννήσου Δυτικής Ελλάδας και Ιονίου» (Β’ 2208) όπως τροποποιήθηκε με τις υπ’ αρ. 304768/4.12.2017  (Β’  4409)  και  291101/31.12.2018 (Β’ 86/2019) όμοιες αποφάσεις.,Non-RespA
6. Τις διατάξεις του άρθρου 28 του ν. 2738/1999,Non-RespA
«Συλλογικές Διαπραγματεύσεις στη Δημόσια Διοίκηση E,Non-RespA
4965,Non-RespA
ΜΕΡΙ∆Α,Non-RespA
ΕΡΝΗΣΕΩΣ,Non-RespA
ΗΣ ∆ΗΜΟΚΡΑΤΙΑΣ,Non-RespA
ΔΕΥΤΕΡΟ Αρ. Φύλλου 507,Non-RespA
μονιμοποιήσεις συμβασιούχων αορίστου χρόνου και άλλες διατάξεις» (Α’ 180).,Non-RespA
7. Την υπ’ αρ. 16/2012 (ορθή επανάληψη) απόφαση του Δημοτικού Συμβουλίου Ανατολικής Μάνης με την οποία προτάθηκε στο αρμόδιο Υπουργείο η μεταφορά αρμοδιοτήτων του Λιμενικού Ταμείου Λακωνίας που αφορούσαν το Δήμο Ανατολικής Μάνης στο Δήμο Ανατολικής Μάνης με την έκδοση του προβλεπόμενου,Non-RespA
π.δ/τος για τη σύσταση Ν.Π.Δ.Δ. το οποίο θα φέρει την επωνυμία «Δημοτικό Λιμενικό Ταμείο Δήμου Ανατολι-κής Μάνης» περιγράφοντας στη συγκεκριμένη απόφαση τους σκοπούς την έδρα τη διοίκηση τη διάρκεια τους πόρους και την περιουσία του υπό σύσταση Νομικού Προσώπου.,Non-RespA
8. Το π.δ. 9/2015 (Α’ 7) αναφορικά με τη μεταφορά αρμοδιοτήτων του Λιμενικού Ταμείου Ν. Λακωνίας που αφορούσαν το Δήμο Ανατολικής Μάνης στο Δήμο Ανατο-λικής Μάνης Ν. Λακωνίας και τη σύσταση Ν.Π.Δ.Δ. με την επωνυμία «Δημοτικό Λιμενικό Ταμείο Ανατολικής Μάνης».,Non-RespA
9. Την υπ’ αρ. 65/2015 απόφαση του Δημοτικού Συμ-βουλίου του Δήμου Ανατολικής Μάνης αναφορικά με την τροποποίηση της Συστατικής πράξης του Ν.Π.Δ.Δ. με την επωνυμία «Δημοτικό Λιμενικό Ταμείο Ανατολικής Μάνης» ώστε να συμπεριληφθεί σε αυτή και η Διοίκηση.,Non-RespA
10. Την υπ’ αρ. 31429/2001/3-6-2015 (Β’ 1216) απόφα-ση του Ασκούντος Καθήκοντα Γενικού Γραμματέα Αποκε-ντρωμένης Διοίκησης Πελοποννήσου Δυτικής Ελλάδας και Ιονίου με την οποία εγκρίθηκε η ανωτέρω (65/2015) απόφαση του Δημοτικού Συμβουλίου του Δήμου Ανα-τολικής Μάνης.,Non-RespA
11. Την υπ’ αρ. 334/2016 απόφαση του Δημοτικού Συμ-βουλίου του Δήμου Ανατολικής Μάνης αναφορικά με την τροποποίηση της Συστατικής πράξης του αναφερόμε-νου Νομικού Προσώπου ως προς τους Πόρους αυτού.,Non-RespA
12. Την υπ’ αρ. 50514/27-3-2017 (Β’ 1147) απόφαση του Ασκούντος Καθήκοντα Γενικού Γραμματέα Αποκε-ντρωμένης Διοίκησης Πελοποννήσου Δυτικής Ελλάδας και Ιονίου με την οποία εγκρίθηκε η ανωτέρω (334/2016) απόφαση του Δημοτικού Συμβουλίου του Δήμου Ανα-τολικής Μάνης.,Non-RespA
13. Την υπ’ αρ. 266/2017 απόφαση του Δημοτικού Συμ-βουλίου του Δήμου Ανατολικής Μάνης αναφορικά με την τροποποίηση της Συστατικής πράξης του αναφερόμε-νου Νομικού Προσώπου ως προς τους Πόρους αυτού.4966 ΕΦΗΜΕΡΙ∆Α TΗΣ,Non-RespA
14. Την υπ’ αρ. 32281/27-2-2018 (Β’ 1082) απόφαση του Συντονιστή της Αποκεντρωμένης Διοίκησης Πελοπον-νήσου Δυτικής Ελλάδας και Ιονίου με την οποία εγκρί-θηκε η ανωτέρω (266/2017) απόφαση του Δημοτικού Συμβουλίου του Δήμου Ανατολικής Μάνης.,Non-RespA
15. Τις διατάξεις του άρθρου 10 του ν. 3584/2007,Non-RespA
«Κύρωση του Κώδικα Κατάστασης Δημοτικών και Κοι-νοτικών Υπαλλήλων» (Α’ 143).,Non-RespA
16. Τις διατάξεις των άρθρων 234 235 236 240 και 244 του ν. 3463/2006 «Κύρωση του Κώδικα Δήμων και Κοινοτήτων» (Α’ 114).,Non-RespA
17. Τις διατάξεις των π.δ. 37Α/1987 22/1990 και 50/2001 που αφορούν στον καθορισμό των προσόντων διορισμού σε θέσεις φορέων του Δημοσίου τομέα.,Non-RespA
18. Τις διατάξεις του π.δ. 410/1988 που αφορά στο προσωπικό με σύμβαση εργασίας ιδιωτικού δικαίου του Δημοσίου των ΟΤΑ και των λοιπών ΝΠΔΔ.,Non-RespA
19. Τις διατάξεις του ν. 2190/1994 «Σύσταση ανεξάρ-τητης αρχής για την επιλογή προσωπικού και ρύθμιση θεμάτων διοίκησης» (Α’ 28).,Non-RespA
20. Τις διατάξεις του ν. 4765/2021 «Εκσυγχρονισμός του συστήματος προσλήψεων στον δημόσιο τομέα και ενίσχυση του Ανώτατου Συμβουλίου Επιλογής Προσω-πικού (Α.Σ.Ε.Π.) και λοιπές διατάξεις» (Α’ 6).,Non-RespA
21. Τις διατάξεις του άρθρου 90 του Κώδικα της Νο-μοθεσίας για την Κυβέρνηση και τα κυβερνητικά όρ-γανα που κυρώθηκε με το άρθρο πρώτο του π.δ. 63/,Non-RespA
2005 (Α’ 98) σε συνδυασμό με την παρ. 22 του άρθρου 119 του ν. 4622/2019 (Α΄ 133).,Non-RespA
22. Την υπ’ αρ. 5/2020 απόφαση του Διοικητικού Συμβου-λίου του Ν.Π.Δ.Δ. με την επωνυμία «Δημοτικό Λιμενικό Τα-μείο Ανατολικής Μάνης» που αφορά την κατάρτιση του Ορ-γανισμού Εσωτερικής Υπηρεσίας του Νομικού Προσώπου.,Non-RespA
23. Την υπ’ αρ. 20/2021 απόφαση του Δημοτικού Συμ-βουλίου Δήμου Ανατολικής Μάνης με την οποία εγκρίνε-ται η υπ’ αρ. 5/2020 απόφαση του Νομικού Προσώπου.,Non-RespA
24. Τη σύμφωνη γνώμη του Υπηρεσιακού Συμβουλίου Προσωπικού των ΟΤΑ Νομού Λακωνίας που διατυπώ-νεται στο υπ’ αρ. 4/19-10-2021- απόφαση 26 - πρακτικό του αποφασίζουμε:,Non-RespA
Εγκρίνουμε την υπ’ αρ. 5/2020 απόφαση του Διοικη-τικού Συμβουλίου του Ν.Π.Δ.Δ. με την επωνυμία «Δη-μοτικό Λιμενικό Ταμείο Ανατολικής Μάνης» Δήμου Ανατολικής Μάνης Νομού Λακωνίας που αφορά στην κατάρτιση του Οργανισμού Εσωτερικής Υπηρεσίας του που έχει ως εξής:,Non-RespA
Άρθρο 1ο,Non-RespA
ΠΕΡΙΕΧΟΜΕΝΟ ΟΡΓΑΝΙΣΜΟΥ,Non-RespA
ΕΣΩΤΕΡΙΚΗ ΥΠΗΡΕΣΙΑΣ,Non-RespA
ΔΗΜΟΤΙΚΟΥ ΛΙΜΕΝΙΚΟΥ ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,Non-RespA
Με τον παρόντα οργανισμό καθορίζεται η οργανωτι-κή διάθρωση του Νομικού προσώπου με την επωνυμία «Δημοτικό Λιμενικό Ταμείο Ανατολικής Μάνης».,Non-RespA
Άρθρο 2ο,Non-RespA
ΓΕΝΙΚΗ ΜΟΡΦΗ ΟΡΓΑΝΩΣΗΣ,Non-RespA
ΤΟΥ ΔΗΜΟΤΙΚΟΥ ΛΙΜΕΝΙΚΟΥ ΤΑΜΕΙΟΥ,Non-RespA
ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,Non-RespA
Το νομικό πρόσωπο διοικείται από το Διοικητικό του Συμβούλιο. Η σύνθεση και οι αρμοδιότητες του ορίζο-Σ ΚΥΒΕΡΝΗΣΕΩΣ Τεύχος B’ 507/09.02.2022,Non-RespA
νται από τον Κανονισμό Διοίκησης και Διαχείρισης του. Οι εργασίες του Νομικού Προσώπου διευθύνονται από τον Πρόεδρο ή με απόφασή του από τον Αντιπρόεδρο και είναι υπόλογος σ’ αυτό για την εύρυθμη λειτουργία του Νομικού Προσώπου.,Non-RespA
Άρθρο 3ο,Non-RespA
ΕΡΜΗΝΕΙΑ - ΜΕΤΑΒΟΛΗ ΤΟΥ Ο.Ε.Υ,Non-RespA
Οι διατάξεις του παρόντος Ο.Ε.Υ. συμπληρώνονται και ερμηνεύονται με την απόφαση του Διοικητικού Συμ-βουλίου.,Non-RespA
Σε περίπτωση που το νομικό πρόσωπο αναλάβει και άλλες αρμοδιότητες ή δραστηριότητες πέραν αυτών που αναφέρονται στον παρόντα Ο.Ε.Υ. το Δ.Σ. δύναται να τον συμπληρώσει ή να τον τροποποιεί ανάλογα.,Non-RespA
ΚΕΦΑΛΑΙΟ Α: ΔΙΑΡΘΡΩΣΗ ΚΑΙ ΛΕΙΤΟΥΡΓΙΑ ΥΠΗΡΕΣΙΩΝ,Non-RespA
Άρθρο 4ο,Non-RespA
Οι υπηρεσίες του Δημοτικού Λιμενικού Ταμείου Ανατο-λικής Μάνης διαρθρώνονται από το Αυτοτελές Γραφείο Διοικητικών και Οικονομικών Υπηρεσιών Τεχνικών Υπη-ρεσιών και Περιβάλλοντος.,Non-RespA
Άρθρο 5ο,Non-RespA
ΑΡΜΟΔΙΟΤΗΤΕΣ ΔΙΟΙΚΗΤΙΚΩΝ,RespA
ΚΑΙ ΟΙΚΟΝΟΜΙΚΩΝ ΥΠΗΡΕΣΙΩΝ ΤΕΧΝΙΚΩΝ ΥΠΗΡΕΣΙΩΝ ΚΑΙ ΠΕΡΙΒΑΛΛΟΝΤΟΣ,Non-RespA
(Αρμοδιότητες Διοικητικής Υποστήριξης),RespA
Ο χειρισμός όλων των θεμάτων που έχουν σχέση με την εκμετάλλευση των χώρων δικαιοδοσίας που ανή-κουν στο Δημοτικό Λιμενικό Ταμείο ή που παραχωρού-νται σε αυτό καθώς και η παροχή υπηρεσιών σε πλοία και τρίτους.,RespA
Η εποπτεία χειρισμός και διεκπεραίωση όλων των διοικητικών θεμάτων του Νομικού Προσώπου και της λειτουργίας του Διοικητικού Συμβουλίου.,RespA
Η ευθύνη τήρησης των πρακτικών των συνεδριάσεων του Διοικητικού Συμβουλίου ως και η τήρηση της διαδι-κασίας σύγκλησης αυτού.,RespA
Η φροντίδα για την τήρηση και παρακολούθηση της ισχύουσας κάθε φορά νομοθεσίας σχετικά με την υπη-ρεσιακή και συνταξιοδοτική κατάσταση του προσωπι-κού.,RespA
Ο χειρισμός όλων των θεμάτων που αναφέρονται στην πρόσληψη μονίμου και εποχιακού προσωπικού για την κάλυψη των αναγκών του Νομικού Προσώπου. Επίσης θέματα σχετικά με τις τοποθετήσεις μετατάξεις αξιολογήσεις αποσπάσεις συντάξεις αδειών κ.λπ. που αφορούν το προσωπικό οποιασδήποτε σχέσης εργασίας.,RespA
Η τήρηση και ενημέρωση των Μητρώων και των ατο-μικών φακέλων του προσωπικού με τη συγκέντρωση και καταγραφή των κάθε είδους μεταβολών της οικογενεια-κής υπηρεσιακής και ατομικής κατάστασης (προσόντα οικογενειακή κατάσταση υπηρεσιακή εξέλιξη απόδοση αμοιβές ποινές άδειες απουσίες κ.λπ.) και μέριμνα για τη χορήγηση βεβαιώσεων και πιστοποιητικών που αφο-ρούν στην υπηρεσιακή κατάσταση αυτού.Τεύχος B’ 507/09.02.2022 ΕΦΗΜΕΡΙ∆Α T,RespA
Η τήρηση του πρωτοκόλλου της εισερχόμενης και εξερχόμενης αλληλογραφίας η διεκπεραίωση όλων των εγγράφων και η τήρηση του αρχείου του Λιμενικού Ταμείου. Μεριμνά για την δαχτυλογράφηση εγγράφων ή την αναπαραγωγή τους καθώς και μεριμνά για τη λει-τουργία του τηλεφωνικού κέντρου και λοιπών μέσω επικοινωνίας.,RespA
Η μέριμνα για τη φύλαξη των κτιρίων εγκαταστάσε-ων και μηχανημάτων που ανήκουν στην κυριότητα του Νομικού Προσώπου.,RespA
Η μέριμνα για την καθαριότητα των κτιρίων του Δημο-τικού Λιμενικού Ταμείου καθώς και για την καθαριότητα και ευπρεπισμό των χώρων χερσαίας ζώνης και θαλάσ-σιας ζώνης που είναι στην αρμοδιότητά του.,RespA
Η μέριμνα για την καταγραφή και έγκαιρη εξέταση από τις υπηρεσίες του Νομικού Προσώπου όλων των αιτημάτων παραπόνων διαμαρτυριών κ.λπ. που υπο-βάλλονται από τους πολίτες καθώς και η ενημέρωση αυτών σε θέματα που τους αφορούν.,RespA
Η μέριμνα για την κάλυψη των μηχανογραφικών ανα-γκών του Νομικού Προσώπου λειτουργία εκμετάλλευση και συντήρηση του εξοπλισμού καθώς και η υποστήριξη σε εξειδικευμένους τομείς της πληροφορικής.,RespA
Χορηγεί αντίγραφα σύμφωνα με τα προβλεπόμενα από τον ν. 2690/1999.,RespA
Η μέριμνα για την επισκευή και συντήρηση του ηλε-κτρομηχανολογικού εξοπλισμού των εγκαταστάσεων των μηχανημάτων και λοιπού εξοπλισμού.,RespA
Δημοπρατεί κάθε έργο σχετικό με τις λιμενικές εγκα-ταστάσεις αρμοδιότητας του Ν.Π.Δ.Δ.,RespA
Η μέριμνα για την έγκαιρη συγκέντρωση στοιχείων και την παροχή στατιστικών πληροφοριών.,RespA
Εκπονεί μελέτες και προγράμματα ανάπτυξης έργων υποδομής και ανωδομής των λιμενικών εγκαταστάσεων καθώς και ηλεκτρομηχανολογικού εξοπλισμού.,RespA
Χειρίζεται θέματα που αφορούν χερσαίες ή εξομοιού-μενες ζώνες λιμένων.,RespA
Δημοπρατεί παρακολουθεί επιβλέπει παραλαμβάνει συντηρεί και επισκευάζει κάθε έργο σχετικό με τις λιμε-νικές εγκαταστάσεις αρμοδιότητας του Ν.Π.Δ.Δ.,RespA
Εκπονεί κανονισμούς χρήσης των έργων και των λιμενικών εγκαταστάσεων του Νομικού Προσώπου. Συντάσσει μελέτες και τεχνικές προδιαγραφές για την προμήθεια μηχανημάτων πλωτών μέσων και παντός ηλεκτρομηχανολογικό εξοπλισμό τις εγκαταστάσεις τα μηχανήματα και πλωτά μέσα ώστε να είναι πάντα σε ετοιμότητα.,RespA
Τηρεί Μητρώο έργων ηλεκτρομηχανολογικού εξοπλι-σμού εγκαταστάσεων μηχανημάτων κ.λ.π.,RespA
Εκτελεί ακόμα κάθε πρόσθετη εργασία που του ανατί-θεται από τον Πρόεδρο ή το Δ.Σ. ή διάταξη νόμου ή που προκύπτει για την εύρυθμη λειτουργία του που δεν έχει προβλεφθεί παραπάνω και δεν ανήκει στη αρμοδιότητα άλλης οργανικής ομάδας.,RespA
(Αρμοδιότητες Οικονομικής Υποστήριξης),RespA
Η κατάρτιση σχεδίου προϋπολογισμού το οποίο ειση-γείται ο Πρόεδρος στο Διοικητικό Συμβούλιο μέσα στις προθεσμίες του Δ.Κ.Κ.TΗΣ ΚΥΒΕΡΝΗΣΕΩΣ 4967,RespA
Παρακολουθεί την εξέλιξη του προϋπολογισμού και εισηγείται τυχόν αναμόρφωσή του. Συντάσσει τον ετήσιο Απολογισμό - Ισολογισμό του Νομικού Προσώπου.,RespA
Επιμελείται την εκκαθάριση και εντολή πληρωμών κάθε δαπάνης αφού ελέγξει τη νομιμότητα και την πλη-ρότητα των δικαιολογητικών και διενεργεί κάθε είδους λογιστικές εγγραφές στα βιβλία.,RespA
Εκδίδει τα χρηματικά εντάλματα πληρωμής κάθε δα-πάνης τις μισθοδοτικές καταστάσεις προσωπικού και τηρεί μισθολογικά αρχεία πάσης φύσεως προσωπικού.,RespA
Παρακολουθεί την οικονομική κατάσταση του Νομι-κού Προσώπου και αποστέλλει ζητηθέντα στοιχεία στις αρμόδιες Υπηρεσίες.,RespA
Μεριμνά για την είσπραξη κάθε εσόδου του Νομικού Προσώπου.,RespA
Τηρεί φάκελο για κάθε ακίνητο ιδιοκτησίας του Νομι-κού Προσώπου που περιέχει όλα τα στοιχεία που θεμε-λιώνουν τα επί του ακινήτου δικαιώματα.,RespA
Διαχειρίζεται τα πάσης φύσεως υλικά όλων των υπη-ρεσιών του ΝΠΔΔ. Τηρεί βιβλίο αποθήκης παραλαβής και παράδοσης άχρηστου υλικού και μεριμνά για την εκποίηση ή καταστροφή αχρήστων υλικών μετά από απόφαση οικείων επιτροπών.,RespA
Εισηγείται και διεκπεραιώνει τη διαδικασία για τη μί-σθωση ή εκμίσθωση ακινήτων.,RespA
Τηρεί βιβλία Εσόδων - Εξόδων ημερολόγιο διαχείρι-σης υλικού.,RespA
Συγκεντρώνει όλα τα αιτήματα που αναφέρονται σε προμήθειες και διεξάγει τις από το νόμο προβλεπόμενες διαδικασίες για την πραγματοποίησή τους.,RespA
Χειρίζεται όλα τα θέματα που έχουν σχέση με την εκ-μετάλλευση των χώρων δικαιοδοσίας και μέσων που ανήκουν στο ΝΠΔΔ καθώς και για την παροχή υπηρε-σιών σε πλοία και τρίτους και βεβαιώνει τα αντίστοιχα δικαιώματα.,RespA
Τηρεί βιβλίο παράδοσης και παραλαβής άχρηστου υλι-κού και μεριμνά για την εκποίηση ή καταστροφή άχρη-στων υλικών μετά από απόφαση των οικείων επιτροπών.,RespA
Μεριμνά για την προμήθεια κάθε μηχανήματος υλι-κού εφοδίου ή άλλου περιουσιακού στοιχείου. Συντάσ-σει και αποστέλλει στη Δ.Ο.Υ. βεβαιωτικούς καταλόγους οφειλών και οφειλετών.,RespA
Η διενέργεια εισπράξεων οφειλών έκδοση αντίστοι-χων γραμματίων είσπραξης και σχετική ενημέρωση του περιοδικού αρχείου οφειλετών κατά οφειλέτη.,RespA
Η παρακολούθηση της εξόφλησης των υποχρεώσεων των οφειλετών.,RespA
Έκδοση και μέριμνα για την κοινοποίηση ατομικών ή ειδικών προσκλήσεων προς τους οφειλέτες. Λειτουργία της Ταμειακής Υπηρεσίας του Λιμενικού Ταμείου,RespA
Διαμόρφωση και παρακολούθηση των ταμειακών προγραμμάτων του Λιμενικού Ταμείου με τη συνεχή παρακολούθηση των υποχρεώσεων και των αναμενό-μενων εισπράξεων.,RespA
Παραλαβή των Χρηματικών Ενταλμάτων πληρωμών και διενέργεια των πληρωμών προς τους δικαιούχους μετά από έλεγχο των τυχόν επιπρόσθετων δικαιολογη-τικών που ορίζει ο νόμος ότι πρέπει να προσκομίζουν οι δικαιούχοι (π.χ. φορολογική ενημερότητα στην περί-πτωση των Εταιρειών).4968 ΕΦΗΜΕΡΙ∆Α TΗΣ,RespA
Καταγραφή των διενεργούμενων πληρωμών σύμφωνα με τις ισχύουσες διαδικασίες.,RespA
Μέριμνα για την απόδοση των κάθε φύσης κρατήσεων υπέρ τρίτων που αντιστοιχούν στα επιμέρους εντάλματα πληρωμής.,RespA
Διενέργεια εισπράξεων αντίστοιχων οφειλών προς το Λιμενικό Ταμείο. Έκδοση αντίστοιχων γραμματίων εισπράξεως και σχετική ενημέρωση του περιοδικού αρ-χείου οφειλετών κατά οφειλέτη.,RespA
Παρακολούθηση της πραγματοποίησης των υποχρεώ-σεων των οφειλετών προς το Λιμενικό Ταμείο και ενημέ-ρωση του Λογιστηρίου για τις καθυστερούμενες οφειλές.,RespA
Κατάρτιση των περιοδικών καταστάσεων προς πλη-ρωμή και πληρωθέντων εξόδων.,RespA
Παραλαβή των βεβαιωτικών καταλόγων των υπό-χρεων και των αντίστοιχων οφειλομένων στο Λιμενικό Ταμείο ποσών κατά κατηγορία προσόδου. Έκδοση και μέριμνα για την κοινοποίηση ατομικών ή ειδικών προ-σκλήσεων προς τους οφειλέτες του Λιμενικού Ταμείου.,RespA
Αρχική ενημέρωση περιοδικού αρχείου οφειλετών κατά οφειλέτη όπου αναγράφονται τα οφειλόμενα ποσά ανά κατηγορία προσόδου.,RespA
Τήρηση των διαδικασιών αρχείων και γενικά λογαρια-σμών του λογιστικού συστήματος του Λιμενικού Ταμείου που αφορούν τα εισπρακτέα και τα πραγματοποιηθέντα έσοδα σύμφωνα με τις ισχύουσες διαδικασίες.,RespA
Κατάρτιση των περιοδικών καταστάσεων εισπραχθέ-ντων και εισπρακτέων εσόδων.,RespA
Τήρηση αρχείων κάθε είδους παραστατικών και αντί-στοιχων δικαιολογητικών που χρησιμοποιούνται για την ενημέρωση του λογιστικού συστήματος. Παροχή κάθε είδους στοιχείων που ζητούνται από Δημόσιες / Ελεγκτικές υπηρεσίες σύμφωνα με τις διαδικασίες που ισχύουν εκάστοτε.,RespA
Εκτελεί ακόμα κάθε πρόσθετη εργασία που του ανα-τίθεται από τον Πρόεδρο ή το Δ.Σ. ή διάταξη νόμου που δεν έχει προβλεφθεί παραπάνω και απαιτείται για την εύρυθμη λειτουργία του Δημοτικού Λιμενικού Ταμείου.,RespA
Αν το προσωπικό του Δημοτικού Λιμενικού Ταμείου δεν επαρκεί η βεβαίωση και είσπραξη των ανωτέρω τελών διενεργείται από προσωπικό που προσλαμβάνε-ται προς το σκοπό αυτόν με σχέση εργασίας Ιδιωτικού Δικαίου Ορισμένου Χρόνου με τη διαδικασία του άρθρου 21 του ν. 2190/1994 (Α’ 28) βάση του άρθρου 90 του,RespA
ν. 4504/2017 όπως ισχύει κάθε φορά.,Non-RespA
(Αρμοδιότητες Τεχνικών Έργων και Περιβάλλοντος),RespA
Α. Τεκμηρίωση Τεχνικών και Οικονομικών στοιχείων των έργων,Non-RespA
Συγκέντρωση υλικού και τήρηση τεχνικού φυσικού αρχείου (π.χ. σε φακέλους) των έργων της Διεύθυνσης σε τρία επίπεδα:,RespA
- Προγραμματιζόμενα έργα.,RespA
- Υπό εκτέλεση έργα.,RespA
- Αποπερατωθέντα.,RespA
Στο αρχείο περιλαμβάνονται κάθε φύσης έγγραφα έντυπα αλληλογραφία παραστατικά μελέτες σχέδια κ.λπ. που προγραμματίζει εκτελεί ή έχει αποπερατωθεί η Διεύθυνση.Σ ΚΥΒΕΡΝΗΣΕΩΣ Τεύχος B’ 507/09.02.2022,RespA
Τήρηση τεχνικής βιβλιοθήκης και αρχείου τεχνικής νομοθεσίας. Η τεχνική βιβλιοθήκη περιλαμβάνει τα φυλλάδια των τεχνικών χαρακτηριστικών και συντήρη-σης όλων των μηχανημάτων/οχημάτων του Λιμενικού Ταμείου.,RespA
Τήρηση τεχνικού πληροφοριακού αρχείου των έργων του Λιμενικού Ταμείου. Στο αρχείο τηρούνται κάθε εί-δους ποσοτικά και τεχνικά χαρακτηριστικά των έργων που προγραμματίζονται εκτελούνται ή έχουν αποπε-ρατωθεί (π.χ. στοιχεία ταυτότητας έργου στοιχεία μελε-τητών/αναδόχων βασικά μεγέθη του έργου χρονοδια-γράμματα φάσεις/στάδια εκτέλεσης αναλώσεις υλικών αναλώσεις μηχανικού εξοπλισμού αναλώσεις ανθρώ-πινου δυναμικού κ.λπ.) με τα αντίστοιχα παραστατικά/,RespA
έντυπα (π.χ. δελτία προόδου εργασιών πιστοποιήσεις πληρωμές εργολάβων δελτία εργασίας προσωπικού δελτία αγοράς υλικών κ.λπ.).,RespA
Τήρηση κοστολογικού αρχείου έργων της Υπηρεσίας. Στο αρχείο τηρούνται κάθε είδους δαπάνες και αναλώ-σεις που αντιστοιχούν στην εκτέλεση καθ’ ενός από τα έργα της Υπηρεσίας. Συνεργασία με την Οικονομική Υπηρεσία.,RespA
Τήρηση αρχείου προγραμμάτων έργων της Υπηρεσίας.,RespA
Τήρηση αρχείου των διατιθεμένων τεχνικών μέσων και ανθρώπινου δυναμικού της Υπηρεσίας και της χρή-σης τους στις επί μέρους δραστηριότητες και έργα της Υπηρεσίας.,RespA
Παροχή πληροφοριών προς τα αιρετά όργανα διοίκη-σης και τις υπόλοιπες υπηρεσίες είτε κατά περίπτωση (μετά από σχετική ζήτηση) είτε με συστηματικό τρόπο (π.χ. με περιοδικές απολογιστικές καταστάσεις) για την πορεία εξέλιξης των έργων από χρονικής οικονομικής και κοστολογικής άποψης.,RespA
Εξαγωγή περιοδικών στατιστικών καταστάσεων που αφορούν την εκτέλεση των έργων καθώς και την αξιο-ποίηση των διατιθέμενων τεχνικών μέσων και του τεχνι-κού προσωπικού.,RespA
Παροχή γραμματειακών υπηρεσιών στην Υπηρεσία (διακίνηση εισερχομένων/εξερχόμενων εγγράφων τή-ρηση αρχείων εγγράφων δακτυλογράφηση και ανα-παραγωγή κειμένων αναπαραγωγή σχεδίων παροχή γενικών πληροφοριών προς τους πολίτες κ.λπ.),RespA
Χειρισμός του μηχανογραφικού εξοπλισμού που είναι αναγκαίος για την αποδοτική εκτέλεση των δραστηριο-τήτων του Γραφείου.,RespA
Παροχή γενικών πληροφοριών προς το κοινό για θέ-ματα της Υπηρεσίας.,RespA
Β. Σχεδιαστικές εργασίες,Non-RespA
Εκτέλεση κάθε φύσης σχεδιαστικών εργασιών για τις ανάγκες της Υπηρεσίας. Τήρηση αρχείου σχεδίων.,RespA
Γ. Τεχνικά έργα,Non-RespA
