Α,AlphaBulletCapDot,AlphaBulletCapPar,AlphaBulletDot,AlphaBulletPar,ArticleNo,Class,DigitBulletDot,DigitBulletPar,Filename,FirstPatternOffset,FirstWordInCapitalOffset,LongestMatchingPattern,MatchedPatternsCount,MatchingBigrams,MatchingUnigrams,OrgMatchingBigrams,OrgMatchingUnigrams,OrgPrediction,OrgTotalMatchingCharacters,PrevAlphaBulletCapDot,PrevAlphaBulletCapPar,PrevAlphaBulletDot,PrevAlphaBulletPar,PrevDigitBulletDot,PrevDigitBulletPar,RawParagraph,RawParagraphLength,RespAPrediction,StemmedParagraph,StemmedParagraphLength,SumMatchingEntries,SumMatchingEntriesLength,TotalMatchingCharacters,TotalMatchingRatio,TotalPrediction,UnqMatchedPatternsCount,UnqMatchingBigrams,UnqMatchingUnigrams,WordsInCapital
234,0,0,1,0,3,NoIdea,0,0,20080100070.pdf,0,30,17,7,2,5,0,1,Non-Org,5,0,0,1,0,0,0,"β. στην τήρηση αρχείου διεθνών, πολυμερών και διμερών συμβάσεων για την προστασία της πολιτιστικής 
κληρονομιάς, των διατάξεων του αντίστοιχου ισχύοντος 
δικαίου και της συναφούς νομολογίας των διεθνών, κοινοτικών, αλλοδαπών και Ελληνικών Δικαστηρίων.",251,RespA,Β. ΤΗΡΗΣ ΑΡΧΕΙ ΔΙΕΘΝ ΠΟΛΥΜΕΡ ΔΙΜΕΡ ΣΥΜΒΑΣ ΠΡΟΣΤΑΣ ΠΟΛΙΤΙΣΤ ΚΛΗΡΟΝΟΜ ΔΙΑΤΑΞ ΑΝΤΙΣΤΟΙΧ ΙΣΧΥΟΝΤ ΔΙΚΑΙ ΣΥΝΑΦ ΝΟΜΟΛΟΓ ΔΙΕΘΝ ΚΟΙΝΟΤ ΑΛΛΟΔΑΠ ΕΛΛΗΝ ΔΙΚΑΣΤΗΡΙΩΝ.,152,57,429,58,0.3815789474,RespA,7,2,5,2
235,0,0,0,0,4,NoIdea,1,0,20080100070.pdf,0,36,11,6,2,4,0,3,Non-Org,19,0,0,0,0,1,0,"2. Οι δημόσιες αρχές και υπηρεσίες, τα νομικά πρόσωπα δημοσίου δικαίου, οι οργανισμοί τοπικής αυτοδιοίκησης, οι φορείς του ευρύτερου δημόσιου τομέα και τα 
αναγνωρισμένα από το κράτος μουσεία υποχρεούνται 
σε άμεση παροχή στοιχείων και συνδρομή στη Διεύθυνση, αυτεπαγγέλτως ή κατόπιν αιτήματός της.",298,RespA,2. ΔΗΜΟΣ ΑΡΧ ΥΠΗΡΕΣ ΝΟΜ ΠΡΟΣΩΠ ΔΗΜΟΣ ΔΙΚΑΙ ΟΡΓΑΝΙΣΜ ΤΟΠ ΑΥΤΟΔΙΟΙΚΗΣ ΦΟΡ ΕΥΡ ΔΗΜΟΣ ΤΟΜ ΑΝΑΓΝΩΡΙΣΜΕΝ ΚΡΑΤ ΜΟΥΣΕΙ ΥΠΟΧΡΕ ΑΜΕΣ ΠΑΡΟΧ ΣΤΟΙΧΕΙ ΣΥΝΔΡΟΜ ΔΙΕΥΘΥΝΣ ΑΥΤΕΠΑΓΓΕΛΤΩΣ ΑΙΤΗΜ ΤΗΣ.,178,63,390,48,0.2696629213,Org,6,2,4,1
236,0,0,0,0,4,NoIdea,1,0,20080100070.pdf,0,4,17,7,2,5,0,4,Non-Org,27,0,0,0,0,1,0,"3. Το προσωπικό του Υπουργείου Πολιτισμού υποχρεούται να παρέχει τη συνδρομή του στις διωκτικές αρχές, 
με εντολή της Υπηρεσίας του και πέραν του νομίμου 
ωραρίου της υπηρεσίας. Με απόφαση του Υπουργού 
Πολιτισμού, η οποία δημοσιεύεται στην Εφημερίδα της 
Κυβερνήσεως, καθορίζονται οι όροι, οι προϋποθέσεις 
και κάθε άλλη αναγκαία λεπτομέρεια για την παροχή 
της συνδρομής αυτής.",379,RespA,3. ΠΡΟΣΩΠ ΥΠΟΥΡΓΕΙ ΠΟΛΙΤΙΣΜ ΥΠΟΧΡΕΟΥΤΑ ΠΑΡΕΧ ΣΥΝΔΡΟΜ ΔΙΩΚΤ ΑΡΧ ΕΝΤΟΛ ΥΠΗΡΕΣ ΠΕΡ ΝΟΜΙΜ ΩΡΑΡ ΥΠΗΡΕΣΙΑΣ. ΑΠΟΦΑΣ ΥΠΟΥΡΓ ΠΟΛΙΤΙΣΜ ΔΗΜΟΣΙΕΥ ΕΦΗΜΕΡΙΔ ΚΥΒΕΡΝΗΣ ΚΑΘΟΡΙΖ ΟΡ ΠΡΟΥΠΟΘΕΣ ΑΝΑΓΚΑΙ ΛΕΠΤΟΜΕΡΕΙ ΠΑΡΟΧ ΣΥΝΔΡΟΜ ΑΥΤΗΣ.,212,73,465,59,0.2783018868,Org,7,2,5,8
237,0,0,0,0,5,NoIdea,0,0,20080100070.pdf,0,2,11,8,0,8,0,4,Non-Org,21,0,0,0,0,0,0,"Διάθεση Προσωπικού της Ελληνικής Αστυνομίας
Με απόφαση του Αρχηγού της Ελληνικής Αστυνομίας 
διατίθεται στη Διεύθυνση αξιωματικός του Τμήματος 
Δίωξης Αρχαιοκαπηλίας της Διεύθυνσης Ασφάλειας 
Αττικής, ως σύνδεσμος εξασφάλισης της συνεργασίας 
μεταξύ της Υπηρεσίας αυτής και της Ελληνικής Αστυνομίας σε θέματα αντιμετώπισης της αρχαιοκαπηλίας.",342,RespA,ΔΙΑΘΕΣ ΠΡΟΣΩΠ ΕΛΛΗΝ ΑΣΤΥΝΟΜ ΑΠΟΦΑΣ ΑΡΧΗΓ ΕΛΛΗΝ ΑΣΤΥΝΟΜ ΔΙΑΤΙΘ ΔΙΕΥΘΥΝΣ ΑΞΙΩΜΑΤ ΤΜΗΜ ΔΙΩΞ ΑΡΧΑΙΟΚΑΠΗΛ ΔΙΕΥΘΥΝΣ ΑΣΦΑΛΕΙ ΑΤΤΙΚ ΣΥΝΔΕΣΜ ΕΞΑΣΦΑΛΙΣ ΣΥΝΕΡΓΑΣ ΥΠΗΡΕΣ ΕΛΛΗΝ ΑΣΤΥΝΟΜ ΘΕΜ ΑΝΤΙΜΕΤΩΠΙΣ ΑΡΧΑΙΟΚΑΠΗΛΙΑΣ.,203,117,943,62,0.3054187192,Org,6,0,6,17
238,0,0,0,0,5,NoIdea,0,0,20080100070.pdf,0,0,6,1,0,1,0,0,Non-Org,0,0,0,0,0,0,0,"Η διάρκεια της διάθεσης δεν μπορεί να υπερβαίνει τα 
τρία έτη.",62,RespA,Η ΔΙΑΡΚΕΙ ΔΙΑΘΕΣ ΔΕΝ ΥΠΕΡΒΑΙΝ ΤΡ ΕΤΗ.,37,5,30,6,0.1621621622,Org,1,0,1,0
239,0,0,0,0,6,NoIdea,0,0,20080100070.pdf,0,2,15,7,4,3,0,2,Non-Org,12,0,0,0,0,0,0,"Εισαγγελέας Προστασίας Πολιτιστικών Αγαθών
Στην Εισαγγελία Πλημμελειοδικών Αθηνών ορίζεται 
από τον Διευθύνοντα αυτήν, Εισαγγελικός Λειτουργός, 
με τον αναπληρωτή του, αρμόδιος για την προστασία των Πολιτιστικών Αγαθών, ο οποίος εποπτεύει όλη 
την προανακριτική διαδικασία, ασκεί την ποινική δίωξη 
για αδικήματα που προβλέπονται στη νομοθεσία περί 
προστασίας των πολιτιστικών αγαθών, επιμελείται δε 
την εκτέλεση των κύριων και παρεπόμενων ποινών που 
επιβάλλονται.",467,Non-RespA,ΕΙΣΑΓΓΕΛ ΠΡΟΣΤΑΣ ΠΟΛΙΤΙΣΤ ΑΓΑΘ ΕΙΣΑΓΓΕΛ ΠΛΗΜΜΕΛΕΙΟΔ ΑΘΗΝ ΟΡΙΖ ΔΙΕΥΘΥΝΟΝΤ ΕΙΣΑΓΓΕΛ ΛΕΙΤΟΥΡΓ ΑΝΑΠΛΗΡΩΤ ΑΡΜΟΔ ΠΡΟΣΤΑΣ ΠΟΛΙΤΙΣΤ ΑΓΑΘ ΕΠΟΠΤΕΥ ΠΡΟΑΝΑΚΡΙΤ ΔΙΑΔΙΚΑΣ ΑΣΚ ΠΟΙΝ ΔΙΩΞ ΑΔΙΚΗΜ ΠΡΟΒΛΕΠ ΝΟΜΟΘΕΣ ΠΡΟΣΤΑΣ ΠΟΛΙΤΙΣΤ ΑΓΑΘ ΕΠΙΜΕΛΕΙΤΑ ΔΕ ΕΚΤΕΛΕΣ ΚΥΡΙ ΠΑΡΕΠΟΜΕΝ ΠΟΙΝ ΕΠΙΒΑΛΛΟΝΤΑΙ.,271,20,189,78,0.2878228782,Org,5,2,3,12
240,0,0,0,0,7,NoIdea,0,0,20080100070.pdf,0,2,16,3,1,2,0,5,Non-Org,35,0,0,0,0,0,0,"Επιτροπή Εμπειρογνωμόνων
1. Με απόφαση του Υπουργού Πολιτισμού συγκροτείται εννεαμελής Επιτροπή Εμπειρογνωμόνων με τριετή 
θητεία που μπορεί να ανανεωθεί. Με την ίδια απόφαση ορίζεται από τα μέλη της ο πρόεδρος και ο αναπληρωτής του. Χρέη γραμματέα ασκεί υπάλληλος της 
Διεύ θυνσης, κατηγορίας ΠΕ Αρχαιολόγων ή Διοικητικού, 
ο οποίος ορίζεται με τον αναπληρωτή του από τον 
Προϊστάμενο της Διεύθυνσης. Με την ίδια απόφαση, 
ρυθμίζονται τα ειδικότερα θέματα οργάνωσης και λειτουργίας της Επιτροπής.",497,Non-RespA,ΕΠΙΤΡΟΠ ΕΜΠΕΙΡΟΓΝΩΜΟΝ 1. ΑΠΟΦΑΣ ΥΠΟΥΡΓ ΠΟΛΙΤΙΣΜ ΣΥΓΚΡΟΤΕΙΤΑ ΕΝΝΕΑΜΕΛ ΕΠΙΤΡΟΠ ΕΜΠΕΙΡΟΓΝΩΜΟΝ ΤΡΙΕΤ ΘΗΤΕΙ ΑΝΑΝΕΩΘΕΙ. ΙΔΙ ΑΠΟΦΑΣ ΟΡΙΖ ΜΕΛ ΠΡΟΕΔΡ ΑΝΑΠΛΗΡΩΤ ΤΟΥ. ΧΡΕ ΓΡΑΜΜΑΤ ΑΣΚ ΥΠΑΛΛΗΛ ΔΙΕ ΘΥΝΣ ΚΑΤΗΓΟΡ ΠΕ ΑΡΧΑΙΟΛΟΓ ΔΙΟΙΚΗΤ ΟΡΙΖ ΑΝΑΠΛΗΡΩΤ ΠΡΟΙΣΤΑΜΕΝ ΔΙΕΥΘΥΝΣΗΣ. ΙΔΙ ΑΠΟΦΑΣ ΡΥΘΜΙΖ ΕΙΔΙΚ ΘΕΜ ΟΡΓΑΝΩΣ ΛΕΙΤΟΥΡΓ ΕΠΙΤΡΟΠΗΣ.,311,10,121,32,0.1028938907,Org,3,1,2,16
241,0,0,0,0,7,NoIdea,1,0,20080100070.pdf,0,2,12,9,1,8,0,2,Non-Org,14,0,0,0,0,1,0,"3. Η Επιτροπή Εμπειρογνωμόνων: α) παρέχει συνδρομή 
στη Διεύθυνση για την επιστημονική τεκμηρίωση και την 
προέλευση των κινητών μνημείων, καθώς και για κάθε 
άλλο επιστημονικό θέμα που άπτεται του αντικειμένου 
της Διεύθυνσης, β) γνωμοδοτεί για κάθε θέμα, συναφές 
με το έργο της Διεύθυνσης, το οποίο παραπέμπεται 
στην Επιτροπή από τον Προϊστάμενο της Διεύθυνσης.",365,Non-RespA,3. ΕΠΙΤΡΟΠ ΕΜΠΕΙΡΟΓΝΩΜΟΝ Α ΠΑΡΕΧ ΣΥΝΔΡΟΜ ΔΙΕΥΘΥΝΣ ΕΠΙΣΤΗΜΟΝ ΤΕΚΜΗΡΙΩΣ ΠΡΟΕΛΕΥΣ ΚΙΝΗΤ ΜΝΗΜΕΙ ΕΠΙΣΤΗΜΟΝ ΘΕΜ ΑΠΤ ΑΝΤΙΚΕΙΜΕΝ ΔΙΕΥΘΥΝΣ Β ΓΝΩΜΟΔΟΤ ΘΕΜ ΣΥΝΑΦ ΕΡΓ ΔΙΕΥΘΥΝΣ ΠΑΡΑΠΕΜΠ ΕΠΙΤΡΟΠ ΠΡΟΙΣΤΑΜΕΝ ΔΙΕΥΘΥΝΣΗΣ.,203,60,512,75,0.3694581281,RespA,8,1,7,8
242,0,0,0,0,7,NoIdea,1,0,20080100070.pdf,0,5,5,1,0,1,0,3,Non-Org,19,0,0,0,0,1,0,"4. Με κοινή απόφαση των Υπουργών Οικονομίας και 
Οικονομικών και Πολιτισμού ορίζεται η αμοιβή των μελών της Επιτροπής Εμπειρογνωμόνων.",134,Non-RespA,4. ΚΟΙΝ ΑΠΟΦΑΣ ΥΠΟΥΡΓ ΟΙΚΟΝΟΜ ΟΙΚΟΝΟΜ ΠΟΛΙΤΙΣΜ ΟΡΙΖ ΑΜΟΙΒ ΜΕΛ ΕΠΙΤΡΟΠ ΕΜΠΕΙΡΟΓΝΩΜΟΝΩΝ.,86,6,30,5,0.05813953488,RespA,1,0,1,6
243,0,0,0,0,8,NoIdea,0,0,20080100070.pdf,0,2,13,2,1,1,0,1,Non-Org,6,0,0,0,0,0,0,"Προσωπικό
1. Η Διεύθυνση Τεκμηρίωσης και Προστασίας Πολιτιστικών Αγαθών στελεχώνεται ως ακολούθως:",98,RespA,ΠΡΟΣΩΠ 1. ΔΙΕΥΘΥΝΣ ΤΕΚΜΗΡΙΩΣ ΠΡΟΣΤΑΣ ΠΟΛΙΤΙΣΤ ΑΓΑΘ ΣΤΕΛΕΧΩΝ ΑΚΟΛΟΥΘΩΣ,69,20,196,22,0.3188405797,RespA,2,1,1,6
244,0,0,1,0,8,NoIdea,0,0,20080100070.pdf,0,16,19,7,2,5,0,3,Non-Org,19,0,0,1,0,0,0,"β. Με πρόσληψη ειδικού επιστημονικού προσωπικού 
αυξημένων προσόντων και εξειδικευμένων γνώσεων σε 
γνωστικά αντικείμενα αρμοδιοτήτων της Διεύθυνσης 
Τεκμηρίωσης και Προστασίας Πολιτιστικών Αγαθών, τα 
οποία ορίζονται με απόφαση του Υπουργού Πολιτισμού, 
που δημοσιεύεται στην Εφημερίδα της Κυβερνήσεως.",303,RespA,Β. ΠΡΟΣΛΗΨ ΕΙΔΙΚ ΕΠΙΣΤΗΜΟΝ ΠΡΟΣΩΠ ΑΥΞΗΜΕΝ ΠΡΟΣΟΝΤ ΕΞΕΙΔΙΚΕΥΜΕΝ ΓΝΩΣ ΓΝΩΣΤ ΑΝΤΙΚΕΙΜΕΝ ΑΡΜΟΔΙΟΤΗΤ ΔΙΕΥΘΥΝΣ ΤΕΚΜΗΡΙΩΣ ΠΡΟΣΤΑΣ ΠΟΛΙΤΙΣΤ ΑΓΑΘ ΟΡΙΖ ΑΠΟΦΑΣ ΥΠΟΥΡΓ ΠΟΛΙΤΙΣΜ ΔΗΜΟΣΙΕΥ ΕΦΗΜΕΡΙΔ ΚΥΒΕΡΝΗΣΕΩΣ.,195,53,512,79,0.4051282051,RespA,7,2,5,9
245,0,0,0,0,8,NoIdea,0,0,20080100070.pdf,0,15,13,7,3,4,0,2,Non-Org,11,0,0,0,0,0,0,"Με πρόσληψη ειδικού επιστημονικού προσωπικού με 
σύμβαση εργασίας ιδιωτικού δικαίου ορισμένου ή αορίστου χρόνου. Ο καθορισμός των θέσεων που πληρούνται με σύμβαση ορισμένου ή αορίστου χρόνου γίνεται 
με την προκήρυξη πλήρωσης των θέσεων.",237,RespA,ΜΕ ΠΡΟΣΛΗΨ ΕΙΔΙΚ ΕΠΙΣΤΗΜΟΝ ΠΡΟΣΩΠ ΣΥΜΒΑΣ ΕΡΓΑΣ ΙΔΙΩΤ ΔΙΚΑΙ ΟΡΙΣΜΕΝ ΑΟΡΙΣΤ ΧΡΟΝΟΥ. ΚΑΘΟΡΙΣΜ ΘΕΣ ΠΛΗΡ ΣΥΜΒΑΣ ΟΡΙΣΜΕΝ ΑΟΡΙΣΤ ΧΡΟΝ ΓΙΝ ΠΡΟΚΗΡΥΞ ΠΛΗΡΩΣ ΘΕΣΕΩΝ.,154,44,405,69,0.4480519481,RespA,7,3,4,1
